alignment,ba,bna,category,corpus,dnmalignment,docId,nba,nbna,replierId,speakerId
0.6931471805599454,1,0,you,SCOTUS,0.5,13-461.xml,0,1,CLEME,ROBE
0.5389965007326869,5,1,article,SCOTUS,0.1428571428571429,13-461.xml,0,1,FREDE,ROBE
-0.6286086594223742,0,4,certain,SCOTUS,-0.5714285714285714,13-461.xml,1,2,FREDE,ROBE
0.5389965007326869,5,1,conj,SCOTUS,0.1428571428571429,13-461.xml,0,1,FREDE,ROBE
0.5389965007326869,5,1,discrep,SCOTUS,0.1428571428571429,13-461.xml,0,1,FREDE,ROBE
0.11778303565638354,5,1,excl,SCOTUS,-0.023809523809523725,13-461.xml,1,0,FREDE,ROBE
0.11778303565638354,5,1,i,SCOTUS,-0.023809523809523725,13-461.xml,1,0,FREDE,ROBE
0.3566749439387324,4,1,incl,SCOTUS,0.08571428571428574,13-461.xml,1,1,FREDE,ROBE
0.5389965007326869,5,1,ipron,SCOTUS,0.1428571428571429,13-461.xml,0,1,FREDE,ROBE
0.5389965007326869,5,1,negate,SCOTUS,0.1428571428571429,13-461.xml,0,1,FREDE,ROBE
0.11778303565638354,5,1,preps,SCOTUS,-0.023809523809523725,13-461.xml,1,0,FREDE,ROBE
0.10536051565782628,3,2,quant,SCOTUS,0.0357142857142857,13-461.xml,1,1,FREDE,ROBE
-0.10536051565782628,2,3,tentat,SCOTUS,-0.04761904761904767,13-461.xml,1,1,FREDE,ROBE
0.9808292530117262,1,1,we,SCOTUS,0.7142857142857143,13-461.xml,0,5,FREDE,ROBE
0.4054651081081645,2,0,article,SCOTUS,0.09999999999999998,13-461.xml,2,1,FREDE,SCAL
0.18232155679395456,2,1,conj,SCOTUS,0.06666666666666665,13-461.xml,1,1,FREDE,SCAL
-0.2231435513142097,1,1,discrep,SCOTUS,-0.06666666666666671,13-461.xml,2,1,FREDE,SCAL
0.18232155679395456,2,1,i,SCOTUS,0.06666666666666665,13-461.xml,1,1,FREDE,SCAL
0.2231435513142097,1,1,incl,SCOTUS,0.09999999999999998,13-461.xml,1,2,FREDE,SCAL
-0.2231435513142097,1,1,negate,SCOTUS,-0.06666666666666671,13-461.xml,2,1,FREDE,SCAL
-0.28768207245178085,2,1,preps,SCOTUS,-0.09999999999999998,13-461.xml,2,0,FREDE,SCAL
